site_id,name,address,point_x,point_y,site_use,status_id,drain_acres,imp_percent,imp_acres,an_runoff,retro_type_id,bmp_type_ids,feasibility_id,dsgn_dfclt_id,wtrshd_bft_id,priority_id,source_ids
41,,safeway harford rd and montebello terr,-76.57157602,39.33959366,bioretention area in parking lot to treat parking lot runoff,2,0.6,100,0.6,78211.98,1,"1, 16",3,3,1,3,7
42,,northwood shopping center hillen rd and wood rd,-76.58963864,39.34128574,,2,0,0,0,0,,,,,,,7
43,,garrett heights es,-76.56902751,39.3493124,,2,0,0,0,0,,,,,,,7
44,,mt pleasant park between perring pkwy laurelton ave and herring run,-76.57338949,39.35632086,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
45,,us marine corps training center,-76.56024159,39.36919816,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
46,,lacrosse field kelly ave and cottonworth ave,-76.64915674,39.36377792,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
47,,pimlico es,-76.66763212,39.34808379,bioretention area in existing landscaping areas in parking lot to treat parking lot runoff,2,1,90,0.9,118004.04,1,"1, 16",3,1,1,3,7
48,,greenspring community center,-76.65553694,39.34618784,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
49,,greenspring ms,-76.6573088,39.34502427,,2,0,0,0,0,,,,,,,7
50,,cold spring ln and greenspring ave,-76.65650826,39.34270669,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
51,,edgecombe park,-76.65976416,39.34244172,site reforestation/revegetation,2,5,10,0.5,96049.8,1,13,4,1,3,4,7
52,,west old coldspring ln and brand ave,-76.64853052,39.34776032,stormwater wetland to treat stormwater runoff from upstream drainage area,2,22,40,8.8,1237670.28,2,11,1,4,4,3,7
53,,medfield heights es,-76.64378082,39.34030519,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
54,,41st st and buena vista ave,-76.64009606,39.33556524,,2,0,0,0,0,,,,,,,7
55,,druid hill park druid hill park dr and greenspring ave,-76.65373663,39.33027633,stream and floodplain restoration to treat stormwater runoff from upstream drainage area,2,90,30,27,3951763.2,2,15,3,4,4,3,7
56,,martin luther king jr es,-76.65715512,39.33284311,,2,0,0,0,0,,,,,,,7
57,,james d gross roosevelt park,-76.63583419,39.32914862,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
58,,i-83 and north ave,-76.62504875,39.3115541,,2,0,0,0,0,,,,,,,7
59,,laurens st and bolton st,-76.63025333,39.30898313,,2,0,0,0,0,,,,,,,7
